時間,お正月,ハワイ,ビーチウェディング,ポンザベス,あじさい,オペラ座,モルディブ,お菓子の家,ペンギン,沖縄,郵便屋さん,鍾乳洞,お月見,車窓
0.75,52027,49900,41318,37749,44381,40046,47327,31114,49255,43956,35258,47819,40655,37374
1,122501,117707,106878,100428,115815,103000,112603,72587,118969,104414,81864,119516,102734,83053
1.75,347000,314900,280288,258073,292729,248987,288716,181296,256079,239751,192391,292063,260000,215584
2,495143,462536,442187,369923,451097,384345,420758,269477,412139,339242,288412,420000,388897,321425
2.75,887000,812023,729340,670000,767252,649061,763046,456900,661871,614759,503648,757930,717352,511170
3,1100000,1000000,975979,859910,1028387,892514,988581,615185,868170,784643,650000,947899,891905,682416
3.75,1599659,1500000,1389847,1282214,1520787,1328359,1540000,936358,1339671,1160004,990000,1404787,1330000,1032343
4,1850000,1934781,1693671,1504000,1894067,1621288,1850000,1211027,1618934,1385557,1180315,1700000,1639531,1230000
4.75,2431115,2539123,2252384,2018593,2472589,2180000,2465194,1716529,2148000,1810000,1626895,2270910,2262771,1675000
5,2715749,2896082,2696298,2221497,2852286,2530515,2872361,2049613,2450000,2098479,1892828,2547321,2686130,1919773
5.75,3317883,3867646,3400000,2800000,3619163,3275944,3664789,2763722,3207369,2706255,2445472,3335327,3408335,2543249
6,3588116,4279141,3787193,3197360,4097288,3647056,4060162,3025636,3542753,3146314,2779514,4009838,3645474,3269676
6.75,4495682,5616776,4880299,3987536,5143248,4499557,5116255,3522981,4528451,3756898,3384752,4913035,4493507,4551860
7,4910916,6351498,5202504,4154420,5492698,4804970,5412360,3698048,4923902,3901141,3585103,5129694,4681851,5087066
0,4163000,5630000,4480000,3000000,4880000,4050000,4050000,2600000,4340000,2670000,2416000,3880000,3950000,2825000
0,1500000,2300000,2410000,1490000,2170000,1600000,1750000,1350000,1791663,1470000,1375000,2060000,1580000,1568000
0,N,R,-,R,R,-,NR,R,-,NRC,-,NRC,R,RC
