時間,牧場,七夕,音楽室,ウエスタン,ケーキ屋さん,花火,肝だめし,夏フェス,バリ島,舞踏会,宇宙,海賊,ねこカフェ,映画祭,マーメイド,ニューヨーク,くまレストラン,アラビアンナイト,スペイン,ロンドン,クリスマス,フィンランド,バレンタイン,パリ,ホワイトデー,ミコノス島,ポンタン城,アルプス,イングリッシュ,チューリップ,深海,ラベンダー,ベネチア,花鳥園,かぐや姫
0.75,43000,42515,34000,45000,38680,49700,47000,43723,42840,46921,40000,45563,43582,44340,46353,36863,54895,50292,34981,39688,65015,57000,55262,54530,46177,61301,50637,41159,51500,50095,43498,47646,36208,52469,34106
1,91000,109000,80000,90000,98979,125600,100900,98000,111240,116328,98849,110661,107527,103032,112048,87763,128680,114831,90000,95013,189690,131452,125995,130692,106962,141221,125441,100369,117438,123000,111486,114000,94765,128034,94341
1.75,248000,264000,202000,223000,270000,314000,243700,247000,309260,303000,248382,316654,310054,252342,300621,245984,329466,260938,229093,238622,584843,347083,290000,294757,252901,336367,327004,238403,280074,333719,281799,252729,230924,311838,249493
2,337000,406000,319000,345000,391000,470000,360760,345000,468630,453778,357482,449265,470000,379623,448496,361153,494005,407100,356000,333377,965913,510114,458913,449577,391168,511341,526457,363519,449553,507379,433185,382671,362763,458581,400547
2.75,580000,753000,547000,566000,665000,815000,635550,565300,845000,848771,642906,807866,831751,619936,817838,602011,847446,633591,595035,570000,1917967,965381,761402,774518,625784,938233,972687,594766,786675,927834,812906,627994,634280,851262,697238
3,800000,981000,659000,700000,858800,1072000,794500,715600,1141185,1108801,854043,1010000,1081076,850000,1092943,759992,1154431,878909,803286,772591,2800000,1203514,979526,990522,852459,1312709,1334286,798113,1054672,1220073,1103647,838129,873655,1081021,961645
3.75,1080000,1519000,1023000,1075000,1224000,1680000,1136400,1050000,1720041,1664598,1258653,1501720,1607433,1226836,1718761,1109674,1681204,1353703,1196976,1197915,4661056,1779479,1406085,1475934,1200830,1941051,1976333,1186685,1551781,1820000,1722595,1130978,1352949,1779076,1470370
4,1308000,1850000,1216000,1250000,1447000,2015000,1396000,1206700,2131887,1985379,1530000,1895479,1944405,1450000,2130000,1389692,2050053,1600000,1468903,1410335,6178247,2279210,1678768,1724000,1468474,2406285,2618516,1430719,1954310,2191863,2205752,1424271,1715218,2239364,1908694
4.75,1777000,2527000,1632000,1735500,1842000,2696000,1860760,1550000,2949010,2704507,2119395,2585745,2643387,1974441,3068926,1884744,2828833,2126978,1969397,1879000,9347657,2964116,2292348,2300000,1920000,3419946,3557251,1841699,2550000,2854849,3186842,1846992,2368602,3208642,2613132
5,1981000,2956000,2240000,2000000,2158000,3063000,2098000,1728600,3417257,3126523,2431086,3026931,3106709,2155231,3676884,2248603,3268079,2530594,2210717,2157051,11913970,3481002,2598328,2741279,2208185,4121306,4275371,2124000,3063612,3141596,3850000,2100000,2790711,3525836,3166085
5.75,2559000,4046000,2680000,2526000,2915000,4013000,2642800,2242500,4822491,4197154,3108372,3867140,4036372,2909114,4956290,2790864,4190577,3180000,2993014,2829997,19177327,5179603,3334882,3527420,2850111,5620581,5838041,2952658,4318587,3933244,5263636,2744827,3625171,5157426,4101338
6,2825000,4461000,2977000,2900000,3210000,4522000,2846300,2524350,5437447,4730000,3487582,4352450,4680207,3159629,5693984,3158372,4772338,3543538,3895558,3139435,26877059,6630220,3769168,4070442,3233490,6596942,6421368,3315774,4679916,4472606,6151902,3167007,4151519,7102661,4953432
6.75,3600000,6329000,4099000,3770000,4300000,6152000,3439000,3250000,7558489,6578345,4649843,5750000,6254742,4025702,8052585,4136122,6761188,4711786,5140704,4265443,38046709,9067487,5048000,5590000,4246582,10093629,8416796,4717192,6290000,6021128,9574329,4035379,5396210,9331609,6104757
7,3947000,7622590,4463880,4087266,4640994,6683707,3635696,3560989,8821344,7209541,5090611,6200873,7227299,4290894,9676862,4534394,8172949,5228000,5489540,4763028,41925086,9958918,5420858,6254444,4606571,12079730,9270008,5590497,6874394,6438924,11195806,4328568,6059383,10241845,6697215
0,3520000,7100000,3650000,3400000,3950000,6218000,2900521,3053359,8180000,6300000,4811000,5000000,6700000,3510000,9315645,3700000,7500000,4580000,4560000,4220000,39000000,9009000,4285600,5600000,3700000,11223000,7500000,5245000,6050000,5400000,10050000,3640000,5540000,9150909,5650000
0,1600000,2500000,1770000,1600000,1880000,2570000,1615000,1540000,2520000,2685000,1600000,2520000,2400000,1560000,2600000,1650000,2000000,2000000,1730000,1685000,6900000,2800000,2020000,2212000,1790000,2730000,2150000,1906000,2125001,2190000,2810000,1720000,1670000,2655000,1900000
0,-,-,-,-,R,RN,N,R,R,N,R,N,R,N,R,R,RN,-,RC,R,C,RNC,N,RN,N,RN,N,R,N,RN,-,RN,-,RC,R
